"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","module","type"
"139","KCND2",1.92961639545211,8.48181108814172,45.3121148689533,1.26537929205331e-315,1.98203335854616e-314,712.384903838199,5,"c"
"140","KCNH1",1.37568985037129,8.36279390632722,34.7829992684541,7.6734215197605e-211,5.33637114818199e-210,471.208576076865,5,"e"
"141","KCNH5",2.76174433310815,7.08617850771811,49.1636886919011,0,0,802.075424747715,5,"e"
"142","KCNJ10",1.45106671172584,9.02872050113798,39.5627979272464,7.00560983916055e-258,7.07313378941751e-257,579.291315023447,6,"c"
"143","KCNJ15",-1.25525973856372,8.19673281852479,-29.4191569617197,3.02011384022392e-160,1.49754757284476e-159,354.794175591128,6,"a"
"144","KCNJ6",2.40644561400484,8.12052284501477,46.2588531817897,0,0,734.453075069384,6,"e"
"145","KCNQ2",2.14548597593058,8.79328133200673,50.5458967025295,0,0,833.835805374807,5,"c"
"146","KCNQ3",1.23903908859403,8.90962675340208,32.3936749323242,6.13248613500878e-188,3.55641756480094e-187,418.313978233974,5,"c"
"147","KHDRBS2",1.48124912805012,8.11905747467423,39.6319878557928,1.43177902361665e-258,1.46320831925702e-257,581.136049382004,136,"a"
"148","KIF1A",1.16488708489764,9.44364191795528,41.0369207267913,1.3071569040026e-272,1.4508575967605e-271,612.922136347245,3,"e"
"149","KIRREL3",1.74380225148511,8.64765099770027,46.5033807294457,0,0,740.019607148447,22,"a"
"150","LAMA1",1.26537812487333,8.40956183798463,29.3430909101362,1.49312738889642e-159,7.3386554363355e-159,353.17234826155,2,"a"
"151","LEP",-1.67977495131539,7.6988905941123,-38.3145219546051,1.78303583128461e-245,1.62411307240924e-244,551.056109764405,1,"a"
"152","LGI1",1.39701459398172,8.85115049348857,32.1259611836582,2.09152816430624e-185,1.19638266326869e-184,412.532013056878,5,"e"
"153","LRFN2",1.9581411605165,8.00528619083388,48.9190216595527,0,0,796.251141901204,8,"a"
"154","LRFN5",1.62808748114445,8.39295159695657,38.2969355269592,2.66335332688307e-245,2.41285414911137e-244,550.509392374473,8,"c"
"155","LRP2",2.37295210502596,8.05570148005684,54.1024334123724,0,0,915.971645188316,7,"c"
"156","MAGEL2",1.94283078103085,7.98809812005439,43.5687656762385,4.76765305451547e-298,6.34173533283168e-297,672.030059262042,16,"c"
"157","MAPK10",1.02320224439701,9.16379886763895,37.411712243149,1.50276039469383e-236,1.26564141784265e-235,530.034649472295,2,"e"
"158","MDGA2",3.2175170266551,7.33787209532831,106.661300828744,0,0,1972.08528059435,15,"a"
"159","MEGF10",1.2185462979441,8.86096655329871,34.4451970165612,1.42190794004181e-207,9.68747035573203e-207,463.517368316211,146,"a"
"160","MEGF11",1.12059915727986,8.84788365123264,35.4490077862915,2.60809972502142e-217,1.90881010442615e-216,485.908611638332,147,"a"
"161","MLC1",1.46451097134111,9.13157218826269,40.154546188443,8.74928589665385e-264,9.34000201451711e-263,592.837404665878,6,"e"
"162","MUC12",1.00826281875068,7.82169864716622,21.3979876138899,2.78989763506761e-92,8.42498817364561e-92,198.6614906312,18,"a"
"163","MYH4",-1.03759949426002,6.05897678506251,-16.6617513434991,9.90795297468562e-59,2.16784976312965e-58,121.869741681376,2,"a"
"164","MYO16",1.33080420859737,8.41224228723287,44.8182147299433,1.21464578434197e-310,1.78574239873433e-309,700.912508068709,158,"a"
"165","MYT1L",2.52137977756307,8.36369137969401,50.912533108433,0,0,842.39480397229,5,"c"
"166","NALCN",1.50569900049845,8.78143565269217,37.8047456020409,1.97868289746475e-240,1.73626834353451e-239,539.201519057592,23,"e"
