"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HGS",-0.0989505180500851,12.2301649919308,-10.4210321257005,7.64882799720925e-25,1.22297194900434e-24,42.4112264226803
"NCOA1",-0.0964554516049841,12.215609743057,-10.3888871902218,1.05477947366268e-24,1.67727227779147e-24,42.0910861570034
"CEPT1",-0.0728539782969421,11.9008686879285,-10.3018430281745,2.50708205203065e-24,3.96500476707021e-24,41.2529346471352
"IRF2BPL",-0.0889284737813602,12.0481527467323,-9.98307772538061,5.65066683361641e-23,8.88834620855338e-23,38.1365621460215
"AAGAB",-0.0785934298667307,11.9685822547429,-9.86759886207479,1.70946649123511e-22,2.67448789757751e-22,37.0454409681867
"ZNF587",-0.0686186068523889,11.9215552251698,-9.75833398879948,4.82107998155242e-22,7.50232232423397e-22,36.0324938814739
"AMBRA1",-0.0707810338629697,11.9848206918539,-9.66896147374833,1.11715056403824e-21,1.72920645816558e-21,35.1838668263274
"TRPM6",0.182724808792516,11.3800122957293,9.57053013681326,2.79631736903593e-21,4.28278081257608e-21,35.01380173036
"ANKRD11",-0.0915731863964883,12.2719499558191,-9.64082112235144,1.45346393579891e-21,2.23787304400785e-21,34.9352861349794
"KMT2C",-0.0890633266842424,12.2008339147108,-9.51061828355044,4.86779398430411e-21,7.41637722215967e-21,33.731415529585
"TM9SF4",-0.0762560129121004,12.1253831606812,-9.49761217347556,5.48801913895934e-21,8.31777900748524e-21,33.6069198710107
"JUN",-0.111373571371217,12.2400120699638,-9.35586487234827,2.00858427844069e-20,3.02848717630177e-20,32.3329847957094
"CMTM1",0.309322480741865,10.742062886733,9.12572190336471,1.5903182442237e-19,2.37324414907229e-19,31.5601101934168
"CLK1",-0.0902636704908298,12.2784408469446,-9.20583544570515,7.77984022459939e-20,1.16697603368991e-19,30.9973409887982
"KIAA0232",-0.0848210949945754,12.1761976849403,-9.05304694125737,3.0272297860054e-19,4.49450952922231e-19,29.6433893365958
